Region,SiteCode,SiteName,SiteLat,SiteLong,maxDHW,maxSSTA,Mean_SST_cl,SD_SST_cl,Jan_SST_cl,Feb_SST_cl,Mar_SST_cl,Apr_SST_cl,May_SST_cl,Jun_SST_cl,Jul_SST_cl,Aug_SST_cl,Sep_SST_cl,Oct_SST_cl,Nov_SST_cl,Dec_SST_cl
GBR,CS147,Holmes Reef Cay Buoy Wall,-16.51274,147.84033,9.429999789,2.169999951,26.46475967,1.523042342,28.37812424,28.48080635,27.9707756,27.18424416,26.22206116,25.23692322,24.5688839,24.31006432,24.83265686,25.6918087,26.91929626,27.78147125
GBR,CS148,Holmes South Cay South Reef,-16.50813,147.84016,9.429999789,2.169999951,26.46475967,1.523042342,28.37812424,28.48080635,27.9707756,27.18424416,26.22206116,25.23692322,24.5688839,24.31006432,24.83265686,25.6918087,26.91929626,27.78147125
GBR,CS149,Holmes South Cay South Inner Reef,-16.50487,147.84137,9.429999789,2.169999951,26.46475967,1.523042342,28.37812424,28.48080635,27.9707756,27.18424416,26.22206116,25.23692322,24.5688839,24.31006432,24.83265686,25.6918087,26.91929626,27.78147125
GBR,CS15,Chilcott Bommie,-16.92247,150.00647,8.399999812,2.329999948,26.39959812,1.402978955,28.18221474,28.26583862,27.83942032,27.07759476,26.25720978,25.37774658,24.62994194,24.46056175,24.76478195,25.70342255,26.72301292,27.51343155
GBR,CS150,Holmes Reef South Cay Swim through,-16.49493,147.84932,9.649999784,2.159999952,26.47688866,1.518971322,28.38326836,28.48912048,27.97750664,27.19903564,26.23068237,25.25372887,24.58671951,24.33172417,24.84472847,25.70530701,26.92940521,27.79143715
GBR,CS151,Holmes N Cay anchorage,-16.47592,147.86608,9.629999785,2.209999951,26.47304583,1.517630873,28.37157249,28.48744774,27.97626686,27.20260811,26.2283268,25.25624275,24.58983994,24.32818794,24.83205795,25.70423126,26.91854858,27.78121948
GBR,CS152,Holmes N Cay bommie,-16.46823,147.86472,9.629999785,2.209999951,26.47304583,1.517630873,28.37157249,28.48744774,27.97626686,27.20260811,26.2283268,25.25624275,24.58983994,24.32818794,24.83205795,25.70423126,26.91854858,27.78121948
GBR,CS153,Inner Osprey East,-13.85535,146.62455,11.92999973,2.309999948,26.80614869,1.456880782,28.56427765,28.6871376,28.18603706,27.57954979,26.74291611,25.72291374,25.09527397,24.72717094,25.06098557,25.97254562,27.13588524,28.19909096
GBR,CS154,Inside Osprey NE,-13.854,146.6254,11.92999973,2.309999948,26.80614869,1.456880782,28.56427765,28.6871376,28.18603706,27.57954979,26.74291611,25.72291374,25.09527397,24.72717094,25.06098557,25.97254562,27.13588524,28.19909096
GBR,CS155,Osprey Pass South,-13.8914,146.55312,11.81999974,2.279999949,26.80084912,1.458508911,28.56386566,28.68905067,28.17437553,27.57245445,26.72942162,25.71381187,25.09439468,24.71915817,25.05553627,25.96592522,27.13151932,28.20067596
GBR,CS156,Osprey Pass,-13.88295,146.56243,11.81999974,2.279999949,26.80084912,1.458508911,28.56386566,28.68905067,28.17437553,27.57245445,26.72942162,25.71381187,25.09439468,24.71915817,25.05553627,25.96592522,27.13151932,28.20067596
GBR,CS157,Osprey Pass Channel,-13.8954,146.5576,11.81999974,2.279999949,26.80084912,1.458508911,28.56386566,28.68905067,28.17437553,27.57245445,26.72942162,25.71381187,25.09439468,24.71915817,25.05553627,25.96592522,27.13151932,28.20067596
GBR,CS158,Osprey Castle,-13.87003,146.57765,11.81999974,2.279999949,26.80084912,1.458508911,28.56386566,28.68905067,28.17437553,27.57245445,26.72942162,25.71381187,25.09439468,24.71915817,25.05553627,25.96592522,27.13151932,28.20067596
GBR,CS16,Chilcott NE,-16.92251,150.01143,8.399999812,2.329999948,26.39959812,1.402978955,28.18221474,28.26583862,27.83942032,27.07759476,26.25720978,25.37774658,24.62994194,24.46056175,24.76478195,25.70342255,26.72301292,27.51343155
GBR,CS17,SW South West Islet,-16.97162,149.90476,7.999999821,2.349999947,26.39262597,1.411032317,28.18623352,28.27536774,27.84045601,27.06064796,26.25390625,25.3441658,24.60852814,24.45170212,24.75483704,25.70504189,26.71000671,27.52061844
GBR,CS171,Bougainville Reef southwest,-15.48855,147.0903,10.86999976,2.489999944,26.66940006,1.499745898,28.50741196,28.58748436,28.15273857,27.412323,26.49053192,25.51511765,24.77280235,24.53337288,24.98590088,25.941082,27.1022892,28.03174591
GBR,CS172,Bougainville Reef W central,-15.48253,147.0993,10.86999976,2.489999944,26.66940006,1.499745898,28.50741196,28.58748436,28.15273857,27.412323,26.49053192,25.51511765,24.77280235,24.53337288,24.98590088,25.941082,27.1022892,28.03174591
