"site_code","pre_post","longitude","latitude","cluster","site_name","Mean_SST_cl","SD_SST_cl","npp_mean","npp_min","npp_max","npp_sd","npp_interann_sd","npp_flag","wave_mean","wave_sd","wave_interann_sd","land_area_20km","reef_area_20km","pop2015_20km","depth","MMM","maxDHW","maxSSTA","Year_Pre","Year_Post","interval","clust.prepost"
"NWS50","Pre",118.97,-17.6101,6,"Imperieuse SE lagoon",27.5418884,1.657827763,754.944784,489.4533705,1255.691256,225.2495194,53.09896458,1,9.316337943,3.074884907,1.065180082,0.203901616,66,0,1.25,29.63270569,0,0,2013,2018,5,"Pre_6"
"NWS51","Post",118.96364,-17.6089,6,"Imperieuse West Lagoon",27.5418884,1.657827763,754.944784,489.4533705,1255.691256,225.2495194,53.09896458,1,9.316337943,3.074884907,1.065180082,0.203901616,66,0,5.5,29.63270569,2.079999954,2.879999936,2013,2018,5,"Post_6"
"NWS51","Pre",118.96364,-17.6089,6,"Imperieuse West Lagoon",27.5418884,1.657827763,754.944784,489.4533705,1255.691256,225.2495194,53.09896458,1,9.316337943,3.074884907,1.065180082,0.203901616,66,0,7,29.63270569,0,0,2013,2018,5,"Pre_6"
"NWS53","Post",118.96872,-17.579,6,"Imperieuse SE reef top",27.55122979,1.6494546,769.575218,499.6966388,1231.723822,214.3483936,53.59305375,1,9.545121765,3.156357495,1.092816345,0.203901616,66,0,0.2,29.62473679,2.819999937,2.999999933,2013,2018,5,"Post_6"
"NWS53","Pre",118.96872,-17.579,6,"Imperieuse SE reef top",27.55122979,1.6494546,769.575218,499.6966388,1231.723822,214.3483936,53.59305375,1,9.545121765,3.156357495,1.092816345,0.203901616,66,0,0.2,29.62473679,0,0,2013,2018,5,"Pre_6"
"NWS54","Post",118.9369,-17.5804,6,"Imperieuse east lagoon",27.549215,1.648324549,790.686024,519.6924274,1237.512411,214.7264227,58.48175713,1,9.761251721,3.229638167,1.112998032,0.203901616,66,0,1.5,29.62799454,1.879999958,2.939999934,2013,2018,5,"Post_6"
"NWS54","Pre",118.9369,-17.5804,6,"Imperieuse east lagoon",27.549215,1.648324549,790.686024,519.6924274,1237.512411,214.7264227,58.48175713,1,9.761251721,3.229638167,1.112998032,0.203901616,66,0,1.5,29.62799454,0,0,2013,2018,5,"Pre_6"
"NWS55","Post",118.97193,-17.56991,6,"Imperieuse East",27.55122979,1.6494546,769.575218,499.6966388,1231.723822,214.3483936,53.59305375,1,9.545121765,3.156357495,1.092816345,0.203901616,66,0,4.5,29.62473679,2.819999937,2.999999933,2013,2018,5,"Post_6"
"NWS55","Pre",118.97193,-17.56991,6,"Imperieuse East",27.55122979,1.6494546,769.575218,499.6966388,1231.723822,214.3483936,53.59305375,1,9.545121765,3.156357495,1.092816345,0.203901616,66,0,4.5,29.62473679,0,0,2013,2018,5,"Pre_6"
"NWS56","Post",118.9747,-17.6102,7,"Imperieuse Reef Rage",27.5418884,1.657827763,754.944784,489.4533705,1255.691256,225.2495194,53.09896458,1,9.316337943,3.074884907,1.065180082,0.203901616,66,0,6.75,29.63270569,2.079999954,2.879999936,2013,2018,5,"Post_7"
"NWS56","Pre",118.9747,-17.6102,7,"Imperieuse Reef Rage",27.5418884,1.657827763,754.944784,489.4533705,1255.691256,225.2495194,53.09896458,1,9.316337943,3.074884907,1.065180082,0.203901616,66,0,7.75,29.63270569,0,0,2013,2018,5,"Pre_7"
"NWS57","Post",118.9737,-17.548,7,"Imperieuse edge",27.56295745,1.641871558,769.575218,499.6966388,1231.723822,214.3483936,53.59305375,1,9.545121765,3.156357495,1.092816345,0.203901616,66,0,7.5,29.6199913,3.469999922,3.049999932,2013,2018,5,"Post_7"
"NWS57","Pre",118.9737,-17.548,7,"Imperieuse edge",27.56295745,1.641871558,769.575218,499.6966388,1231.723822,214.3483936,53.59305375,1,9.545121765,3.156357495,1.092816345,0.203901616,66,0,10,29.6199913,0,0,2013,2018,5,"Pre_7"
"NWS58","Post",118.9738,-17.5531,7,"Rowley Shoals 3",27.55122979,1.6494546,769.575218,499.6966388,1231.723822,214.3483936,53.59305375,1,9.545121765,3.156357495,1.092816345,0.203901616,66,0,5.75,29.62473679,2.819999937,2.999999933,2013,2018,5,"Post_7"
"NWS58","Pre",118.9738,-17.5531,7,"Rowley Shoals 3",27.55122979,1.6494546,769.575218,499.6966388,1231.723822,214.3483936,53.59305375,1,9.545121765,3.156357495,1.092816345,0.203901616,66,0,7.5,29.62473679,0,0,2013,2018,5,"Pre_7"
"NWS59","Post",118.9668,-17.54732,6,"Imperieuse lagoon bommie",27.56295745,1.641871558,769.575218,499.6966388,1231.723822,214.3483936,53.59305375,1,9.545121765,3.156357495,1.092816345,0.203901616,66,0,4,29.6199913,3.469999922,3.049999932,2013,2018,5,"Post_6"
"NWS59","Pre",118.9668,-17.54732,6,"Imperieuse lagoon bommie",27.56295745,1.641871558,769.575218,499.6966388,1231.723822,214.3483936,53.59305375,1,9.545121765,3.156357495,1.092816345,0.203901616,66,0,4,29.6199913,0,0,2013,2018,5,"Pre_6"
"NWS6","Post",123.38116,-11.97448,6,"Hibernia Lagoon SE2",28.40379763,1.116002315,831.934116,537.7386661,1350.764201,225.9459604,70.06458781,1,13.39961781,5.686341651,1.377128396,0,95,0,4.5,29.42552948,15.94999964,2.389999947,2013,2019,6,"Post_6"
"NWS6","Pre",123.38116,-11.97448,6,"Hibernia Lagoon SE2",28.40379763,1.116002315,831.934116,537.7386661,1350.764201,225.9459604,70.06458781,1,13.39961781,5.686341651,1.377128396,0,95,0,4.5,29.42552948,0,0,2013,2019,6,"Pre_6"
"NWS60","Post",118.96884,-17.54749,6,"Imperieuse 14",27.56295745,1.641871558,769.575218,499.6966388,1231.723822,214.3483936,53.59305375,1,9.545121765,3.156357495,1.092816345,0.203901616,66,0,2,29.6199913,3.469999922,3.049999932,2013,2018,5,"Post_6"
