"site_code","site_name","latitude","longitude","SiteLong_rd","SiteLat_rd","Mean_SST_cl","SD_SST_cl","npp_mean","npp_min","npp_max","npp_sd","npp_interann_sd","npp_flag","wave_mean","wave_sd","wave_interann_sd","land_area_20km","reef_area_20km","pop2015_20km","depth","MMM","maxDHW","maxSSTA","Year_Pre","Year_Post","interval"
"CS177","Osprey Reef Lagoon South",-13.98559,146.69139,146.7,-14,26.79841391,1.453904009,648.35591,383.2256673,1023.183218,146.7919281,40.66771536,1,15.82605355,6.463879901,1.873700419,0,58.5,0,13.75,28.67809486,0,0,2015,2016,1
"CS178","Osprey South reef flat",-13.99381,146.69067,146.7,-14,26.79841391,1.453904009,648.35591,383.2256673,1023.183218,146.7919281,40.66771536,1,15.82605355,6.463879901,1.873700419,0,58.5,0,1.5,28.67809486,0,0,2015,2016,1
"CS179","Osprey south bommie",-13.97563,146.67549,146.7,-14,26.79841391,1.453904009,648.35591,383.2256673,1023.183218,146.7919281,40.66771536,1,15.82605355,6.463879901,1.873700419,0,58.5,0,9.5,28.67809486,0,0,2015,2016,1
"CS18","South West Islet Bommie",-16.96134,149.90547,149.9,-17,26.39262597,1.411032317,561.8001804,411.4120646,752.7998907,102.6364834,36.62269529,1,13.59502539,3.850600004,1.644830705,0.204556699,31.25,0,10,28.27536774,0,0,2012,2017,5
"CS180","Osprey S W Bommie",-13.96688,146.66721,146.7,-14,26.79841391,1.453904009,648.35591,383.2256673,1023.183218,146.7919281,40.66771536,1,15.82605355,6.463879901,1.873700419,0,58.5,0,9.5,28.67809486,0,0,2015,2016,1
"CS181","Osprey S E Lagoon",-13.96617,146.6806,146.7,-14,26.79841391,1.453904009,648.35591,383.2256673,1023.183218,146.7919281,40.66771536,1,15.82605355,6.463879901,1.873700419,0,58.5,0,4.75,28.67809486,0,0,2015,2016,1
"CS182","Osprey Lagoon entrance bommie",-13.89028,146.57249,146.6,-13.9,26.80084912,1.458508911,950.5023136,649.2591756,1325.231157,134.7042682,58.92591468,1,14.4147459,5.92323573,1.65742035,0,78.75,0,8.5,28.68905067,0,0,2015,2016,1
"CS183","Osprey Lagoon Entrance NW Bommie",-13.88715,146.56733,146.6,-13.9,26.80084912,1.458508911,950.5023136,649.2591756,1325.231157,134.7042682,58.92591468,1,14.4147459,5.92323573,1.65742035,0,78.75,0,7.75,28.68905067,0,0,2015,2016,1
"CS184","Osprey Reef North Horn",-13.80117,146.54613,146.5,-13.8,26.80534379,1.457273647,818.7632354,578.105334,1146.654325,123.3897309,56.34619953,1,16.36112821,6.870949948,1.92306801,0,40,0,10,28.69410324,0,0,2015,2016,1
"CS185","Ashmore reef lagoon South",-10.44533,144.44918,144.4,-10.4,26.85025056,1.375671951,736.8107613,516.7382253,1043.439203,118.5968024,53.75864276,1,15.75321679,8.823806164,1.833137017,0,334.75,0,2.25,28.47545433,0,0,2015,2016,1
