"RLS_category_2","label","freq","mean_cover_present","rank.freq","rank.cover","new.label"
"Massive corals","Acanthastrea brevis",3,1,252,318,"Massive corals"
"Massive corals","Acanthastrea Hemispherical",3,1,253,319,"Massive corals"
"Sub-massive corals","Acanthastrea Submassive",3,1,255,320,"Sub-massive corals"
"Tabular Acropora corals","Acropora Arborescent table",3,1,256,321,"Tabular Acropora corals"
"Tabular Acropora corals","Acropora microclados",3,1,257,322,"Tabular Acropora corals"
"Stony corals","Cyphastrea",3,1,259,323,"Stony corals"
"Stony corals","Isopora",3,1,264,324,"Stony corals"
"Encrusting corals","Pavona minuta",3,1,273,325,"Encrusting corals"
"Massive corals","Platygyra ryukyuensis",3,1,276,326,"Massive corals"
"Sub-massive corals","Psammocora Submassive",3,1,278,327,"Sub-massive corals"
"Foliose/Plate corals","Turbinaria peltata",3,1,280,328,"Foliose/Plate corals"
"Foliose/Plate corals","Turbinaria Solid plates",3,1,281,329,"Foliose/Plate corals"
"Tabular Acropora corals","Acropora Perforated plate",2,1,283,330,"Tabular Acropora corals"
"Bottlebrush Acropora corals","Acropora striata",2,1,285,331,"Bottlebrush Acropora corals"
"Branching corals","Anacropora Branching",2,1,288,332,"Branching corals"
"Sub-massive corals","Galaxea Submassive",2,1,298,333,"Sub-massive corals"
"Large-polyp stony corals (free-living)","Heliofungia actiniformis",2,1,299,334,"Large-polyp stony corals (free-living)"
"Encrusting corals","Montipora floweri",2,1,307,335,"Encrusting corals"
"Stony corals","Stylophora",2,1,319,336,"Stony corals"
"Branching corals","Stylophora Branching",2,1,320,337,"Branching corals"
"Massive corals","Symphyllia Hemispherical",2,1,322,338,"Massive corals"
"Massive corals","Symphyllia radians",2,1,323,339,"Massive corals"
"Foliose/Plate corals","Turbinaria Foliose",2,1,325,340,"Foliose/Plate corals"
"Corymbose Acropora corals","Acropora bushyensis",1,1,329,341,"Corymbose Acropora corals"
"Bottlebrush Acropora corals","Acropora echinata",1,1,331,342,"Bottlebrush Acropora corals"
"Foliose/Plate corals","Astreopora expansa",1,1,342,343,"Foliose/Plate corals"
"Encrusting corals","Coscinaraea Encrusting",1,1,346,344,"Encrusting corals"
"Branching corals","Cyphastrea Branching",1,1,348,345,"Branching corals"
"Massive corals","Favia helianthoides",1,1,354,346,"Massive corals"
"Massive corals","Favia laxa",1,1,355,347,"Massive corals"
"Massive corals","Favia rotundata",1,1,357,348,"Massive corals"
"Large-polyp stony corals (free-living)","Fungia paumotensis",1,1,361,349,"Large-polyp stony corals (free-living)"
"Encrusting corals","Goniopora fruticosa",1,1,363,350,"Encrusting corals"
"Encrusting corals","Goniopora somaliensis",1,1,364,351,"Encrusting corals"
"Massive corals","Leptastrea bottae",1,1,369,352,"Massive corals"
"Stony corals","Leptoseris",1,1,371,353,"Stony corals"
"Foliose/Plate corals","Leptoseris scabra",1,1,373,354,"Foliose/Plate corals"
"Sub-massive corals","Lobophyllia pachysepta",1,1,374,355,"Sub-massive corals"
"Foliose/Plate corals","Montipora peltiformis",1,1,378,356,"Foliose/Plate corals"
"Sub-massive corals","Moseleya latistellata",1,1,380,357,"Sub-massive corals"
"Massive corals","Oulophyllia",1,1,381,358,"Massive corals"
"Massive corals","Oulophyllia bennettae",1,1,382,359,"Massive corals"
"Foliose/Plate corals","Oxypora crassispinosa",1,1,384,360,"Foliose/Plate corals"
"Encrusting corals","Oxypora Encrusting",1,1,385,361,"Encrusting corals"
"Stony corals","Pachyseris",1,1,386,362,"Stony corals"
"Foliose/Plate corals","Pectinia alcicornis",1,1,389,363,"Foliose/Plate corals"
"Encrusting corals","Pectinia Encrusting",1,1,390,364,"Encrusting corals"
"Massive corals","Plesiastrea versipora",1,1,391,365,"Massive corals"
