label,ET_grouping,Genus_GF 
Isopora Encrusting,Isopora Encrusting,Isopora Encrusting
Isopora palifera,Isopora palifera,Isopora Columnar or digitate
Leptastrea,Leptastrea Encrusting,Leptastrea Encrusting
Leptastrea Encrusting,Leptastrea Encrusting,Leptastrea Encrusting
Leptastrea pruinosa,Leptastrea Encrusting,Leptastrea Encrusting
Leptastrea purpurea,Leptastrea Encrusting,Leptastrea Encrusting
Leptastrea transversa,Leptastrea Encrusting,Leptastrea Encrusting
Leptastrea bottae,Leptastrea Submassive,Leptastrea Submassive
Leptastrea inaequalis,Leptastrea Submassive,Leptastrea Submassive
Leptastrea Submassive,Leptastrea Submassive,Leptastrea Submassive
Leptoria phrygia,Leptoria phrygia,Leptoria
Leptoseris,Leptoseris Encrusting,Leptoseris Encrusting
Leptoseris Encrusting,Leptoseris Encrusting,Leptoseris Encrusting
Leptoseris mycetoseroides,Leptoseris Encrusting,Leptoseris Encrusting
Leptoseris scabra,Leptoseris Encrusting,Leptoseris Encrusting
Leptoseris yabei,Leptoseris Encrusting,Leptoseris Encrusting
Lobophyllia hemprichii,Lobophyllia hemprichii,Lobophyllia Hemispherical
Lobophyllia robusta,Lobophyllia robusta,Lobophyllia Hemispherical
Lobophyllia corymbosa,Lobophyllia Submassive,Lobophyllia Hemispherical
Lobophyllia,Lobophyllia Submassive,Lobophyllia Submassive
Lobophyllia dentatus,Lobophyllia Submassive,Lobophyllia Submassive
Lobophyllia Hemispherical,Lobophyllia Submassive,Lobophyllia Submassive
Lobophyllia pachysepta,Lobophyllia Submassive,Lobophyllia Submassive
Merulina ampliata,Merulina ampliata,Merulina Submassive
Merulina scabricula,Merulina scabricula,Merulina Submassive
Millepora,Millepora Branching,Millepora Branching
Millepora branching,Millepora Branching,Millepora Branching
Millepora intricata,Millepora Branching,Millepora Branching
Millepora dichotoma,Millepora dichotoma,Millepora Branching
Millepora exaesa,Millepora exaesa,Millepora Submassive
Millepora tenera,Millepora tenera,Millepora Branching
Montipora aequituberculata,Montipora aequituberculata,Montipora Foliose plate
Montipora digitata,Montipora Branching,Montipora Branching
Montipora stellata,Montipora Branching,Montipora Branching
Montipora caliculata,Montipora caliculata,Montipora Submassive
Montipora Columnar or digitate,Montipora Columnar or digitate,Montipora Submassive
Montipora crassituberculata,Montipora crassituberculata,Montipora Encrusting
Montipora,Montipora Encrusting,Montipora Encrusting
Montipora danae,Montipora Encrusting,Montipora Encrusting
Montipora efflorescens,Montipora Encrusting,Montipora Encrusting
Montipora Encrusting,Montipora Encrusting,Montipora Encrusting
Montipora floweri,Montipora Encrusting,Montipora Encrusting
Montipora hoffmeisteri,Montipora Encrusting,Montipora Encrusting
Montipora incrassata,Montipora Encrusting,Montipora Encrusting
Montipora peltiformis,Montipora Encrusting,Montipora Encrusting
Montipora turgescens,Montipora Encrusting,Montipora Encrusting
Montipora undata,Montipora Encrusting,Montipora Encrusting
Montipora verrucosa,Montipora Encrusting,Montipora Encrusting
Montipora corbettensis,Montipora Foliose plate,Montipora Foliose plate
Montipora foliosa,Montipora Foliose plate,Montipora Foliose plate
Montipora Foliose,Montipora Foliose plate,Montipora Foliose plate
Montipora Solid plates,Montipora Foliose plate,Montipora Foliose plate
Montipora grisea,Montipora grisea,Montipora Encrusting
Montipora hispida,Montipora hispida,Montipora Submassive
Montipora informis,Montipora informis,Montipora Encrusting
Montipora monasteriata,Montipora monasteriata,Montipora Encrusting
Montipora palawanensis,Montipora palawanensis,Montipora Encrusting
Montipora spongodes,Montipora spongodes,Montipora Submassive
Montipora foveolata,Montipora Submassive,Montipora Submassive
Montipora Hemispherical,Montipora Submassive,Montipora Submassive
Montipora meandrina,Montipora Submassive,Montipora Submassive
Montipora nodosa,Montipora Submassive,Montipora Submassive
Montipora spumosa,Montipora Submassive,Montipora Submassive
Montipora Submassive,Montipora Submassive,Montipora Submassive
Montipora venosa,Montipora Submassive,Montipora Submassive
Montipora tuberculosa,Montipora tuberculosa,Montipora Encrusting
Mycedium elephantotus,Mycedium elephantotus,Mycedium Foliose/Plate
Oulophyllia,Oulophyllia,Oulophyllia Hemispherical
Oulophyllia bennettae,Oulophyllia,Oulophyllia Hemispherical
Oulophyllia crispa,Oulophyllia,Oulophyllia Hemispherical
Oxypora,Oxypora Encrusting plate,Oxypora Encrusting plate
Oxypora crassispinosa,Oxypora Encrusting plate,Oxypora Encrusting plate
Oxypora Encrusting,Oxypora Encrusting plate,Oxypora Encrusting plate
Oxypora lacera,Oxypora lacera,Oxypora Encrusting plate
Pachyseris,Pachyseris,Pachyseris
Pachyseris Encrusting,Pachyseris,Pachyseris Encrusting
Pachyseris Foliose,Pachyseris,Pachyseris Foliose
Pachyseris Submassive,Pachyseris,Pachyseris Submassive
Pachyseris rugosa,Pachyseris rugosa,Pachyseris Submassive
Pachyseris speciosa,Pachyseris speciosa,Pachyseris Foliose
Pavona bipartita,Pavona bipartita,Pavona Submassive
Pavona cactus,Pavona cactus,Pavona Branching
Pavona clavus,Pavona clavus,Pavona Submassive
Pavona duerdeni,Pavona duerdeni,Pavona Submassive
Pavona explanulata,Pavona explanulata,Pavona Encrusting plate
Pavona maldivensis,Pavona maldivensis,Pavona Submassive
Pavona decussata,Pavona Submassive,Pavona Submassive
Pavona minuta,Pavona Submassive,Pavona Submassive
Pavona Submassive,Pavona Submassive,Pavona Submassive
Pavona varians,Pavona varians,Pavona Submassive
Pavona venosa,Pavona venosa,Pavona Submassive
