Final_grouping,original_label,Species_comments
Porites Submassive,Porites annae,"P. vaughani, P. rus, P. lichen"
Porites Submassive,Porites monticulosa,"P. vaughani, P. rus, P. lichen"
Porites Submassive,Porites rus,"P. vaughani, P. rus, P. lichen"
Porites Submassive,Porites Submassive,"P. vaughani, P. rus, P. lichen"
Porites Submassive,Porites vaughani,"P. vaughani, P. rus, P. lichen"
Psammocora Branching,Psammocora contigua,
Psammocora Branching,Psammocora obtusangula,
Psammocora Encrusting,Psammocora Encrusting,
Psammocora Submassive,Psammocora haimiana,
Psammocora Submassive,Psammocora nierstraszi,
Psammocora Submassive,Psammocora profundacella,
Psammocora Submassive,Psammocora Submassive,
Sandalolitha,Sandalolitha robusta,
Seriatopora,Seriatopora,S. hystrix and S. caliendrum
Seriatopora,Seriatopora aculeata,S. hystrix and S. caliendrum
Seriatopora,Seriatopora caliendrum,S. hystrix and S. caliendrum
Seriatopora,Seriatopora dendritica,S. hystrix and S. caliendrum
Seriatopora,Seriatopora hystrix,S. hystrix and S. caliendrum
Stony corals,Coral Species,
Stony corals,New species record,
Stony corals,Stony corals,
Stylocoeniella,Stylocoeniella Encrusting,
Stylocoeniella,Stylocoeniella guentheri,
Stylophora,Stylophora,Is S. pistillata
Stylophora,Stylophora Branching,Is S. pistillata
Stylophora,Stylophora pistillata,Is S. pistillata
Stylophora,Stylophora subseriata,Is S. pistillata
Symphyllia Hemispherical,Symphyllia hemispherica,
Symphyllia Hemispherical,Symphyllia recta,
Symphyllia Submassive,Symphyllia,
Symphyllia Submassive,Symphyllia agaricia,
Symphyllia Submassive,Symphyllia Hemispherical,
Symphyllia Submassive,Symphyllia radians,
Symphyllia Submassive,Symphyllia Submassive,
Tubastrea,Tubastrea,
Tubastrea,Tubastrea coccinea,
Tubastrea,Tubastrea micranthus,
Tubipora,Organ-pipe coral (Tubipora),
Turbinaria Encrusting,Turbinaria Encrusting,
Turbinaria Encrusting,Turbinaria irregularis,
Turbinaria Encrusting,Turbinaria stellulata,
Turbinaria Foliose plates,Turbinaria Foliose,
Turbinaria Foliose plates,Turbinaria frondens,
Turbinaria Foliose plates,Turbinaria mesenterina,
Turbinaria Foliose plates,Turbinaria peltata,
Turbinaria Foliose plates,Turbinaria reniformis,
Turbinaria Foliose plates,Turbinaria Solid plates,
