Region,SiteCode,SiteLong,SiteLat,SiteLong_rd,SiteLat_rd,Mean_SST_cl,SD_SST_cl,npp_mean,npp_min,npp_max,npp_sd,npp_interann_sd,npp_flag,wave_mean,wave_sd,wave_interann_sd
GBR,CS48,153.53757,-21.89729,153.5,-21.9,25.52852774,1.625742406,619.0797192,377.4737286,878.7678432,134.8041352,32.66116562,1,18.83254999,5.951163069,2.116132183
GBR,CS5,152.3482,-19.25323,152.3,-19.3,25.76926502,1.536686461,497.1939458,308.4470078,694.2101408,113.8081649,28.7044742,1,17.50257444,5.166046799,2.053379143
GBR,CS50,153.57968,-21.91736,153.6,-21.9,25.48824565,1.621326193,619.0797192,377.4737286,878.7678432,134.8041352,32.66116562,1,19.06294652,6.009452316,2.133660456
GBR,CS51,153.58669,-21.91631,153.6,-21.9,25.48824565,1.621326193,659.4763874,446.5404426,940.2252853,130.637428,25.11292378,1,19.29334305,6.067741563,2.151188728
GBR,CS52,155.7542,-21.25707,155.8,-21.3,25.03076506,1.582243496,549.2376035,369.686888,847.8947321,136.5718936,20.44153207,1,21.97354918,6.351308255,2.31549076
GBR,CS54,155.75466,-21.25459,155.8,-21.3,25.03076506,1.582243496,559.3527213,312.218945,880.0902264,153.5926513,25.2177871,1,21.95152798,6.344261334,2.315438026
GBR,CS55,155.76086,-21.2535,155.8,-21.3,25.03076506,1.582243496,559.3527213,312.218945,880.0902264,153.5926513,25.2177871,1,21.95152798,6.344261334,2.315438026
GBR,CS56,155.76361,-21.248,155.8,-21.2,25.03943125,1.581462563,559.3527213,312.218945,880.0902264,153.5926513,25.2177871,1,21.95152798,6.344261334,2.315438026
GBR,CS57,155.76497,-21.24541,155.8,-21.2,25.03943125,1.581462563,559.3527213,312.218945,880.0902264,153.5926513,25.2177871,1,21.95152798,6.344261334,2.315438026
GBR,CS58,155.76575,-21.19993,155.8,-21.2,25.05050675,1.580581868,562.3554008,316.587944,881.5443034,154.5310003,27.44752679,1,21.92950678,6.337214413,2.315385292
GBR,CS6,152.34184,-19.25796,152.3,-19.3,25.76926502,1.536686461,543.9433643,336.3803977,785.1695535,129.4340436,27.22138779,1,17.6391433,5.251421298,2.085823744
GBR,CS60,155.77281,-21.20282,155.8,-21.2,25.03943125,1.581462563,562.3554008,316.587944,881.5443034,154.5310003,27.44752679,1,21.92950678,6.337214413,2.315385292
GBR,CS61,155.76982,-21.20865,155.8,-21.2,25.03943125,1.581462563,562.3554008,316.587944,881.5443034,154.5310003,27.44752679,1,21.92950678,6.337214413,2.315385292
GBR,CS63,154.3944,-21.0003,154.4,-21,25.36478917,1.546801539,512.7824444,287.5369212,823.3739047,137.3078862,25.076317,2,20.53762075,6.164705018,2.208346104
GBR,CS64,154.39374,-20.99787,154.4,-21,25.36887153,1.545633988,512.7824444,287.5369212,823.3739047,137.3078862,25.076317,2,20.53762075,6.164705018,2.208346104
GBR,CS65,154.39197,-21.0065,154.4,-21,25.36478917,1.546801539,506.6214119,316.1907298,840.5754249,140.0237396,20.04869422,1,20.58563973,6.183886427,2.211268702
GBR,CS7,152.38809,-19.1254,152.4,-19.1,25.78950675,1.523375113,544.8909978,391.5698946,754.2460645,101.6853304,27.5260701,1,17.83585007,5.219218523,2.084442024
GBR,CS71,154.3699,-21.020283,154.4,-21,25.36478917,1.546801539,730.7869372,460.9526638,1197.38058,178.2242804,38.62584428,1,20.44076454,6.152621484,2.199398842
GBR,CS72,154.37269,-21.02036,154.4,-21,25.36478917,1.546801539,506.6214119,316.1907298,840.5754249,140.0237396,20.04869422,1,20.58563973,6.183886427,2.211268702
GBR,CS73,154.39572,-20.93697,154.4,-20.9,25.37470881,1.544985853,502.9934443,237.0614685,808.7224538,136.8603613,27.5608559,1,20.53066513,6.157276731,2.210208849
GBR,CS74,154.39723,-20.93624,154.4,-20.9,25.37470881,1.544985853,502.9934443,237.0614685,808.7224538,136.8603613,27.5608559,1,20.53066513,6.157276731,2.210208849
GBR,CS8,152.38714,-19.09532,152.4,-19.1,25.80238469,1.517524818,544.8909978,391.5698946,754.2460645,101.6853304,27.5260701,1,17.83585007,5.219218523,2.084442024
GBR,CS9,149.200022,-16.921938,149.2,-16.9,26.42659076,1.459770663,503.7209253,359.6265622,733.3130219,97.49255487,32.09469917,1,14.06394452,4.186165418,1.780958511
GBR,GBR16,151.77309,-23.24659,151.8,-23.2,24.13349517,2.238593271,1483.391256,1195.818748,1813.997839,160.7532716,91.78767195,1,6.548396417,2.217205118,0.791960691
GBR,GBR17,151.77568,-23.24371,151.8,-23.2,24.13349517,2.238593271,1483.391256,1195.818748,1813.997839,160.7532716,91.78767195,1,6.548396417,2.217205118,0.791960691
GBR,GBR2,152.41618,-23.89878,152.4,-23.9,24.22214492,2.086426047,1061.691024,815.650457,1388.248085,164.6085917,68.95200434,1,9.064255266,3.247001283,1.207305092
GBR,GBR24,149.13292,-19.81261,149.1,-19.8,25.44409704,2.163958175,1371.962219,950.4266534,2014.781647,270.9911585,66.4639479,1,5.890755444,1.526727446,0.624940703
GBR,GBR25,149.13617,-19.81349,149.1,-19.8,25.44409704,2.163958175,1371.962219,950.4266534,2014.781647,270.9911585,66.4639479,1,5.890755444,1.526727446,0.624940703
