"","X1","X2","X3","X4","X5","X6","X7","ind.Coral.sp...pval..."
"Acropora.pulchra",0,0,0,0.00210301800487987,0,0.127474352245073,0.000690482576215761,0.03
"Acropora.robusta",0,0.0298221433304073,0.104969434558069,0,0,0.00166586492643655,0,0.02
"Acropora.samoensis",0,0,0.0887881620995205,0.000590625946263346,0,0.00626252503341951,0.00465407627334982,0.01
"Acropora.sarmentosa",0.00141755242112493,0,0,0.0719303574740174,0,0.00552675337948189,0.00273818538420625,0.07
"Acropora.secale",0,0,0.00242218360497667,0.00870078175893613,0.0355926424175739,0.0430528602682974,0.000380896292221362,0.25
"Acropora.selago",0.00486640156738832,0,0,0.0250512835778888,0,0,0.00940008245686366,0.54
"Acropora.seriata",0,0,0.0869565217391304,0,0,0,0,0.03
"Acropora.spicifera",0,0,0.387136394754151,0,0,0,0.000183645441866902,0.01
"Acropora.Staghorn",0.000180096589210756,0.00663417027602886,0.0254406007976411,0.0501032420733806,0.00304757197055076,0.112345693122383,0.00182636893359998,0.02
"Acropora.striata",0,0,0,0,0,0,0.0344827586206897,0.28
"Acropora.subglabra",0,0,0,0,0,0.04,0,0.11
"Acropora.subulata",0,0,0,0,0,0,0.0172413793103448,1
"Acropora.tenuis",0,0.00297033587497744,0.154557131778186,0.00652290598891606,0.0255843382981455,0.0318310103370208,0.0116817906141354,0.01
"Acropora.turaki",0,0,0,0,0,0.12,0,0.01
"Acropora.valenciennesi",0,0,0.035548745451063,0,0,0,0.00314446301078536,0.15
"Acropora.valida",0.00617972770564567,0.00379401649955457,0.115972111148955,0.00302971711417577,0,0.00562182188837998,0.00198949022152624,0.03
"Acropora.vaughani",0.000405774789236803,0,0.0348904953936205,0.00119362814869205,0,0.00200391068115017,0.00235141906699829,0.32
"Acropora.verweyi",0.000566438461239942,0.0333851893073664,0.0208736320669403,0,0,0.00294457369690972,0.00218829793171055,0.35
"Acropora.yongei",0,0.0225787853625627,0,0,0,0.00935980968419676,0.0100638022510781,0.4
"Alveopora.catalai",0,0,0,0,0,0,0.0172413793103448,1
"Alveopora.spongiosa",0.0175438596491228,0,0,0,0,0,0,0.76
"Alveopora.Submassive",0,0,0,0,0,0.02,0,0.56
"Anacropora.Branching",0,0,0,0,0,0.0107407407407407,0.00798212005108557,0.93
"Astrea.annuligera",0.00561806459611927,0,0,0,0,0.00730123674911661,0.00542600828560984,1
"Astrea.curta",0.0314601159505558,0.00408778816475926,0.0136311121410876,0.0163215444152,0,0.00886935573684147,0.0111463921752984,0.49
"Astreopora.Encrusting",0,0,0.00965566993146694,0,0.0177355881727292,0,0.018220628039522,0.69
"Astreopora.expansa",0,0,0,0,0,0,0.0172413793103448,1
"Astreopora.gracilis",0.00202456000726049,0,0,0,0,0.0526223637087147,0.00391069884874515,0.12
"Astreopora.incrustans",0,0,0,0,0,0,0.0172413793103448,1
"Astreopora.listeri",0,0,0,0,0,0.0279518072289157,0.00519318653926049,0.1
"Astreopora.myriophthalma",0.0839602423525375,0,0.0113582616774812,0.029920201313383,0.0026078647688314,0.0271284697296547,0.0142889903148336,0.09
"Astreopora.ocellata",0,0,0,0,0.0336021505376344,0.00387096774193548,0,0.39
"Astreopora.Solid.plates",0,0,0,0,0,0,0.0172413793103448,1
"Astreopora.Submassive",0.0030748859021061,0,0,0.00904509216472858,0,0.00799224343675418,0,0.89
"Bottlebrush.Acropora.corals",0.002321522499898,0,0,0.0136579929419078,0,0.0114647924352963,0.00896864043064044,0.79
"Branching.Acropora",0,0,0,0.00084586419562836,0.032439479308039,0.00597924482605775,0.000555444116570466,0.43
"Branching.corals",0,0.0147294211236245,0.0186047852309057,0.00534645435245764,0.00512600593080682,0.00708619059874736,0.00087769899409772,0.74
"Branching.Pocillopora",0,0,0,0,0,0.02,0,0.62
"Coeloseris.mayeri",0,0,0,0.0129625310012256,0.0110471570145476,0.0706311030882113,0.0333857958004448,0.06
"Columnar.corals",0,0,0.0434782608695652,0,0,0,0,0.14
"Corals",0,0,0.0434782608695652,0,0,0,0,0.16
"Corymbose.Acropora.corals",0.0313434398895641,0.033741442326367,0.121963414410887,0.0632137960134413,0.00908201664180167,0.0596036041290822,0.0549168632133675,0.15
"Coscinaraea.columna",0.068881904999793,0.0168317377093616,0,0.0100807555407358,0,0.000742279632982845,0.0165490405688803,0.03
"Coscinaraea.Encrusting",0.0175438596491228,0,0,0,0,0,0,0.82
"Coscinaraea.exesa",0.0177824555271628,0.00818809495574714,0,0,0,0.00144437995019379,0.00429363837750831,0.72
"Coscinaraea.Submassive",0,0.0194500335345406,0,0,0,0,0.0101991257892181,0.33
"Ctenactis",0,0,0,0,0.0575945344772799,0.00663489037178265,0.00246540218927714,0.05
"Ctenactis.crassa",0,0,0,0.00719208870242733,0.0275821596244131,0,0,0.51
"Cycloseris.patelliformis",0,0,0,0.0212765957446809,0,0,0,0.46
