survey_id,site_code,site_name,latitude,longitude,survey_date,program,database,is_NESP_pre.post,survey_year
912346769,CS171,Bougainville Reef southwest,-15.48855,147.0903,1/12/2016,RLS,Squidle+,Post,2016
912346770,CS171,Bougainville Reef southwest,-15.48855,147.0903,1/12/2016,RLS,Squidle+,Post,2016
912345444,CS172,Bougainville Reef W central,-15.48253,147.0993,14/7/2015,RLS,Squidle+,Pre,2015
912345445,CS172,Bougainville Reef W central,-15.48253,147.0993,14/7/2015,RLS,Squidle+,Pre,2015
912346771,CS172,Bougainville Reef W central,-15.48253,147.0993,2/12/2016,RLS,Squidle+,Post,2016
912346772,CS172,Bougainville Reef W central,-15.48253,147.0993,2/12/2016,RLS,Squidle+,Post,2016
912345446,CS173,Bougainville Reef lagoon,-15.48885,147.10716,15/7/2015,RLS,Squidle+,Pre,2015
912345447,CS173,Bougainville Reef lagoon,-15.48885,147.10716,15/7/2015,RLS,Squidle+,Pre,2015
912346775,CS173,Bougainville Reef lagoon,-15.48885,147.10716,2/12/2016,RLS,Squidle+,Post,2016
912346776,CS173,Bougainville Reef lagoon,-15.48885,147.10716,2/12/2016,RLS,Squidle+,Post,2016
912345468,CS174,Bougainville Reef Lagoon East,-15.48433,147.10759,15/7/2015,RLS,Squidle+,Pre,2015
912345478,CS174,Bougainville Reef Lagoon East,-15.48433,147.10759,15/7/2015,RLS,Squidle+,Pre,2015
912346777,CS174,Bougainville Reef Lagoon East,-15.48433,147.10759,2/12/2016,RLS,Squidle+,Post,2016
912346778,CS174,Bougainville Reef Lagoon East,-15.48433,147.10759,2/12/2016,RLS,Squidle+,Post,2016
912345450,CS175,Bougainville Reef point,-15.4908,147.08723,15/7/2015,RLS,Squidle+,Pre,2015
912345451,CS175,Bougainville Reef point,-15.4908,147.08723,15/7/2015,RLS,Squidle+,Pre,2015
912346767,CS175,Bougainville Reef point,-15.4908,147.08723,1/12/2016,RLS,Squidle+,Post,2016
912346768,CS175,Bougainville Reef point,-15.4908,147.08723,1/12/2016,RLS,Squidle+,Post,2016
912345452,CS176,Bougainville Reef inlet,-15.48135,147.10453,15/7/2015,RLS,Squidle+,Pre,2015
912345453,CS176,Bougainville Reef inlet,-15.48135,147.10453,15/7/2015,RLS,Squidle+,Pre,2015
912346773,CS176,Bougainville Reef inlet,-15.48135,147.10453,2/12/2016,RLS,Squidle+,Post,2016
912346774,CS176,Bougainville Reef inlet,-15.48135,147.10453,2/12/2016,RLS,Squidle+,Post,2016
912345472,CS177,Osprey Reef Lagoon South,-13.98559,146.69139,21/7/2015,RLS,Squidle+,Pre,2015
912345481,CS177,Osprey Reef Lagoon South,-13.98559,146.69139,21/7/2015,RLS,Squidle+,Pre,2015
912346787,CS177,Osprey Reef Lagoon South,-13.98559,146.69139,4/12/2016,RLS,Squidle+,Post,2016
912346788,CS177,Osprey Reef Lagoon South,-13.98559,146.69139,4/12/2016,RLS,Squidle+,Post,2016
912345440,CS178,Osprey South reef flat,-13.99381,146.69067,21/7/2015,RLS,Squidle+,Pre,2015
912345441,CS178,Osprey South reef flat,-13.99381,146.69067,21/7/2015,RLS,Squidle+,Pre,2015
912346789,CS178,Osprey South reef flat,-13.99381,146.69067,4/12/2016,RLS,Squidle+,Post,2016
912346790,CS178,Osprey South reef flat,-13.99381,146.69067,4/12/2016,RLS,Squidle+,Post,2016
912345448,CS179,Osprey south bommie,-13.97563,146.67549,22/7/2015,RLS,Squidle+,Pre,2015
912345449,CS179,Osprey south bommie,-13.97563,146.67549,22/7/2015,RLS,Squidle+,Pre,2015
912346783,CS179,Osprey south bommie,-13.97563,146.67549,4/12/2016,RLS,Squidle+,Post,2016
912346784,CS179,Osprey south bommie,-13.97563,146.67549,4/12/2016,RLS,Squidle+,Post,2016
912342277,CS18,South West Islet Bommie,-16.96134,149.90547,28/10/2012,RLS,Squidle+,Pre,2012
912342285,CS18,South West Islet Bommie,-16.96134,149.90547,28/10/2012,RLS,Squidle+,Pre,2012
912347704,CS18,South West Islet Bommie,-16.96134,149.90547,20/1/2017,RLS,Squidle+,Post,2017
912347727,CS18,South West Islet Bommie,-16.96134,149.90547,20/1/2017,RLS,Squidle+,Post,2017
912345473,CS180,Osprey S W Bommie,-13.96688,146.66721,22/7/2015,RLS,Squidle+,Pre,2015
912345482,CS180,Osprey S W Bommie,-13.96688,146.66721,22/7/2015,RLS,Squidle+,Pre,2015
912346785,CS180,Osprey S W Bommie,-13.96688,146.66721,4/12/2016,RLS,Squidle+,Post,2016
912346786,CS180,Osprey S W Bommie,-13.96688,146.66721,4/12/2016,RLS,Squidle+,Post,2016
912345474,CS181,Osprey S E Lagoon,-13.96617,146.6806,22/7/2015,RLS,Squidle+,Pre,2015
912345483,CS181,Osprey S E Lagoon,-13.96617,146.6806,22/7/2015,RLS,Squidle+,Pre,2015
912346797,CS181,Osprey S E Lagoon,-13.96617,146.6806,5/12/2016,RLS,Squidle+,Post,2016
912346798,CS181,Osprey S E Lagoon,-13.96617,146.6806,5/12/2016,RLS,Squidle+,Post,2016
912345456,CS182,Osprey Lagoon entrance bommie,-13.89028,146.57249,23/7/2015,RLS,Squidle+,Pre,2015
912345457,CS182,Osprey Lagoon entrance bommie,-13.89028,146.57249,23/7/2015,RLS,Squidle+,Pre,2015
912346803,CS182,Osprey Lagoon entrance bommie,-13.89028,146.57249,6/12/2016,RLS,Squidle+,Post,2016
912346804,CS182,Osprey Lagoon entrance bommie,-13.89028,146.57249,6/12/2016,RLS,Squidle+,Post,2016
912345475,CS183,Osprey Lagoon Entrance NW Bommie,-13.88715,146.56733,23/7/2015,RLS,Squidle+,Pre,2015
912345484,CS183,Osprey Lagoon Entrance NW Bommie,-13.88715,146.56733,23/7/2015,RLS,Squidle+,Pre,2015
912346799,CS183,Osprey Lagoon Entrance NW Bommie,-13.88715,146.56733,6/12/2016,RLS,Squidle+,Post,2016
912346800,CS183,Osprey Lagoon Entrance NW Bommie,-13.88715,146.56733,6/12/2016,RLS,Squidle+,Post,2016
912345461,CS184,Osprey Reef North Horn,-13.80117,146.54613,23/7/2015,RLS,Squidle+,Pre,2015
912345485,CS184,Osprey Reef North Horn,-13.80117,146.54613,23/7/2015,RLS,Squidle+,Pre,2015
912346805,CS184,Osprey Reef North Horn,-13.80117,146.54613,6/12/2016,RLS,Squidle+,Post,2016
912345516,CS185,Ashmore reef lagoon South,-10.44533,144.44918,30/7/2015,RLS,Squidle+,Pre,2015
912345517,CS185,Ashmore reef lagoon South,-10.44533,144.44918,30/7/2015,RLS,Squidle+,Pre,2015
912346830,CS185,Ashmore reef lagoon South,-10.44533,144.44918,12/12/2016,RLS,Squidle+,Post,2016
912346831,CS185,Ashmore reef lagoon South,-10.44533,144.44918,12/12/2016,RLS,Squidle+,Post,2016
912345494,CS186,Ashmore South bommie,-10.43422,144.45243,31/7/2015,RLS,Squidle+,Pre,2015
912345495,CS186,Ashmore South bommie,-10.43422,144.45243,31/7/2015,RLS,Squidle+,Pre,2015
912346824,CS186,Ashmore South bommie,-10.43422,144.45243,11/12/2016,RLS,Squidle+,Post,2016
912346825,CS186,Ashmore South bommie,-10.43422,144.45243,11/12/2016,RLS,Squidle+,Post,2016
912345496,CS187,Ashmore South lagoon shore,-10.44136,144.45293,31/7/2015,RLS,Squidle+,Pre,2015
912345497,CS187,Ashmore South lagoon shore,-10.44136,144.45293,31/7/2015,RLS,Squidle+,Pre,2015
912346822,CS187,Ashmore South lagoon shore,-10.44136,144.45293,11/12/2016,RLS,Squidle+,Post,2016
