survey_id,s_year,s_month,lat,lon,tminus,max_dhw
912343301,2013,6,-17.725000381469727,148.4250030517578,5,2.741851806640625
912343301,2013,6,-17.725000381469727,148.4250030517578,6,0.4699999988079071
912343302,2013,6,-17.725000381469727,148.47500610351565,1,2.884333372116089
912343302,2013,6,-17.725000381469727,148.47500610351565,2,1.0739285945892334
912343302,2013,6,-17.725000381469727,148.47500610351565,3,1.8200000524520872
912343302,2013,6,-17.725000381469727,148.47500610351565,4,0.9800000190734864
912343302,2013,6,-17.725000381469727,148.47500610351565,5,2.3888888359069824
912343302,2013,6,-17.725000381469727,148.47500610351565,6,0.4699999988079071
912343303,2013,6,-17.725000381469727,148.47500610351565,1,2.884333372116089
912343303,2013,6,-17.725000381469727,148.47500610351565,2,1.0739285945892334
912343303,2013,6,-17.725000381469727,148.47500610351565,3,1.8200000524520872
912343303,2013,6,-17.725000381469727,148.47500610351565,4,0.9800000190734864
912343303,2013,6,-17.725000381469727,148.47500610351565,5,2.3888888359069824
912343303,2013,6,-17.725000381469727,148.47500610351565,6,0.4699999988079071
912343304,2013,6,-17.725000381469727,148.47500610351565,1,2.884333372116089
912343304,2013,6,-17.725000381469727,148.47500610351565,2,1.0739285945892334
912343304,2013,6,-17.725000381469727,148.47500610351565,3,1.8200000524520872
912343304,2013,6,-17.725000381469727,148.47500610351565,4,0.9800000190734864
912343304,2013,6,-17.725000381469727,148.47500610351565,5,2.3888888359069824
912343304,2013,6,-17.725000381469727,148.47500610351565,6,0.4699999988079071
912343305,2013,6,-17.725000381469727,148.47500610351565,1,2.884333372116089
912343305,2013,6,-17.725000381469727,148.47500610351565,2,1.0739285945892334
912343305,2013,6,-17.725000381469727,148.47500610351565,3,1.8200000524520872
912343305,2013,6,-17.725000381469727,148.47500610351565,4,0.9800000190734864
912343305,2013,6,-17.725000381469727,148.47500610351565,5,2.3888888359069824
912343305,2013,6,-17.725000381469727,148.47500610351565,6,0.4699999988079071
912343306,2013,7,-16.924999237060547,149.97500610351565,1,2.990344762802124
912343306,2013,7,-16.924999237060547,149.97500610351565,2,0.4900000095367432
912343306,2013,7,-16.924999237060547,149.97500610351565,3,3.9600000381469727
912343306,2013,7,-16.924999237060547,149.97500610351565,4,1.2000000476837158
912343306,2013,7,-16.924999237060547,149.97500610351565,5,3.1519999504089355
912343306,2013,7,-16.924999237060547,149.97500610351565,6,0.1599999964237213
912343307,2013,7,-16.924999237060547,149.97500610351565,1,2.990344762802124
912343307,2013,7,-16.924999237060547,149.97500610351565,2,0.4900000095367432
912343307,2013,7,-16.924999237060547,149.97500610351565,3,3.9600000381469727
912343307,2013,7,-16.924999237060547,149.97500610351565,4,1.2000000476837158
912343307,2013,7,-16.924999237060547,149.97500610351565,5,3.1519999504089355
912343307,2013,7,-16.924999237060547,149.97500610351565,6,0.1599999964237213
912343308,2013,7,-16.924999237060547,150.02499389648438,1,2.880344867706299
